gene,sample,group,value_log2
Per2,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,5.14786709801456
Per2,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,5.1887414684020445
Per3,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,5.832063654199163
Per3,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,5.70013635024079
Per3,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,5.886141522932827
Per3,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,5.832521056690304
Per3,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,5.756970094122313
Per3,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,5.85747204799825
Per3,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,5.897460694336433
Per3,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,5.8332578381228695
Per3,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,5.829973081022381
Per3,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,5.956194861135157
Per3,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,6.262511873094709
Per3,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,5.820114707274416
Per3,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,6.11782044158408
Per3,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,5.8236099274823365
Per3,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,5.79806458559964
Per3,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,5.74682190933616
Per3,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,5.6762238655188
Per3,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,5.458900290163446
Per3,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,5.6608384896865
Per3,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,5.396370424006494
Per3,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,5.3923965248805565
Per3,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,5.514383860058796
Per3,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,5.575723471473229
Tef,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,8.043353535701234
Tef,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,7.919632099793067
Tef,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,7.961745872072036
Tef,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,7.8789101497828495
Tef,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,7.915175696216024
Tef,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,8.05177783047053
Tef,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,8.034118249897777
Tef,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,7.99384973187576
Tef,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,8.00238375802355
Tef,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,7.99970072468236
Tef,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,7.657255415360603
Tef,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,8.11997382496051
Tef,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,8.17665546815889
Tef,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,7.925912616697009
Tef,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,8.112261598559213
Tef,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,7.965130533208864
Tef,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,8.018680574805954
Tef,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,7.830473375778393
Tef,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,7.95652031087771
Tef,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,7.634360476768253
Tef,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,7.914165137527647
Tef,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,7.8220362257256
Tef,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,7.560657824623487
