kdeg,period_h,amplitude,rel_amplitude,NR1D1_mean,NR1D1_max,oscillating
0.2,,0.0003366321325302124,0.004652741942941455,1.4519282579421997,1.4530264139175415,False
0.21,17.35734543412923,0.007861480116844177,0.10446826972466673,1.4454659223556519,1.4699980020523071,True
0.22,17.491713665723836,0.04044245555996895,0.5176790319990264,1.4620156288146973,1.5835437774658203,True
0.23,17.915538739860068,0.06618621200323105,0.8250258767805524,1.4956400394439697,1.6971914768218994,True
0.24,18.357816949002455,0.0856422483921051,1.024875643182643,1.5308512449264526,1.7980611324310303,True
0.25,18.815755755677827,0.1024617850780487,1.1903531471218984,1.572089672088623,1.8967320919036865,True
0.26,19.288135326514023,0.11786682903766632,1.3390572623700434,1.6152687072753906,1.9970166683197021,True
0.27,19.773568673059337,0.1324222832918167,1.4589126648748831,1.6571002006530762,2.100823163986206,True
0.28,20.270557814985523,0.14643630385398865,1.5611871007591251,1.7068088054656982,2.2093076705932617,True
0.29,20.77753615189343,0.1600913107395172,1.6873232988533051,1.7665237188339233,2.3232438564300537,True
0.3,21.292982787484064,0.17349952459335327,1.777609296232211,1.8177543878555298,2.4431753158569336,True
0.31,21.815415149368334,0.186730295419693,1.8654459270744899,1.8845584392547607,2.5694878101348877,True
0.32,22.343457505293202,0.19982551038265228,1.9725198823112793,1.946496844291687,2.702451467514038,True
0.33,22.875833011567593,0.21280893683433533,2.028405182619253,2.0197455883026123,2.842244863510132,True
0.34,23.41137727707624,0.22569213807582855,2.0870793236437515,2.0834097862243652,2.9889721870422363,True
0.35,23.949025669991954,0.23847869038581848,2.186614379677919,2.177947998046875,3.142674446105957,True
0.36,24.487798326760554,0.2511666417121887,2.2567028951065766,2.263744592666626,3.3033394813537598,True
0.37,25.02678159475326,0.2637506425380707,2.341274041536304,2.3411831855773926,3.470907211303711,True
0.38,25.565125585421924,0.27622339129447937,2.4352807437963,2.4229109287261963,3.645275354385376,True
0.39,26.102028466183697,0.2885761260986328,2.495175602701786,2.518373727798462,3.826303720474243,True
0.4,26.636707363477882,0.30079972743988037,2.5503428049246866,2.636551856994629,4.013817310333252,True
0.41,27.16842951834201,0.31288495659828186,2.6586117461632663,2.7395644187927246,4.207610130310059,True
0.42,27.696473549678913,0.32482287287712097,2.670461842956685,2.823683738708496,4.407447338104248,True
0.43,28.220148376822465,0.3366044759750366,2.7612828778082967,2.9557225704193115,4.613068103790283,True
0.44,28.738778855651617,0.34822317957878113,2.8412827976995065,3.043452262878418,4.824187755584717,True
0.45,29.251715660691247,0.35967040061950684,2.8191846008530295,3.1413490772247314,5.040502548217773,True
0.46,29.758328060060762,0.3709399998188019,2.8725680948444885,3.253788709640503,5.261689186096191,True
0.47,30.258022983670287,0.38202622532844543,2.85387048943825,3.365826368331909,5.4874091148376465,True
0.48,30.750227575707264,0.39292412996292114,3.0304671874455895,3.533722400665283,5.717312335968018,True
0.49,31.23440067872403,0.4036293029785156,3.0322224592934623,3.6261403560638428,5.951038360595703,True
0.5,31.71002917170526,0.4141377806663513,3.046947364451194,3.7231574058532715,6.188217639923096,True
