strength,drive_period_h,period_ratio,observed_period_h,rotation_number,phase_drift_per_cycle,oscillating,entrained
0.0,19.638201049393402,0.82,23.94900743084031,0.806101664229849,0.18000004481775309,True,False
0.0,19.925589357433307,0.8320000000000001,23.94900743084031,0.8178982739502858,0.1680000454736226,True,False
0.0,20.212977665473208,0.844,23.94900743084031,0.8296948836707225,0.15600004612949228,True,False
0.0,20.500365973513112,0.856,23.94900743084031,0.8414914933911594,0.14400004678536177,True,False
0.0,20.787754281553017,0.868,23.94900743084031,0.8532881031115962,0.13200004744123128,True,False
0.0,21.075142589592918,0.8799999999999999,23.94900743084031,0.8650847128320329,0.12000004809710091,True,False
0.0,21.362530897632823,0.892,23.94900743084031,0.8768813225524698,0.10800004875297037,True,False
0.0,21.649919205672724,0.9039999999999999,23.94900743084031,0.8886779322729066,0.09600004940884008,True,False
0.0,21.93730751371263,0.9159999999999999,23.94900743084031,0.9004745419933434,0.08400005006470955,True,False
0.0,22.224695821752533,0.9279999999999999,23.94900743084031,0.9122711517137803,0.07200005072057908,True,False
0.0,22.512084129792434,0.94,23.94900743084031,0.924067761434217,0.060000051376448725,True,False
0.0,22.79947243783234,0.952,23.94900743084031,0.9358643711546538,0.048000052032318226,True,False
0.0,23.086860745872244,0.964,23.94900743084031,0.9476609808750907,0.03600005268818774,True,False
0.0,23.374249053912145,0.9759999999999999,23.94900743084031,0.9594575905955274,0.0240000533440574,True,False
0.0,23.66163736195205,0.988,23.94900743084031,0.9712542003159642,0.0120000539999269,True,False
0.0,23.949025669991954,1.0,23.94900743084031,0.983050810036401,5.4655796403565107e-08,True,True
0.0,24.236413978031855,1.012,23.94900743084031,0.9948474197568379,0.011999944688333944,True,False
0.0,24.52380228607176,1.024,23.94900743084031,1.0066440294772747,0.023999944032464443,True,False
0.0,24.811190594111665,1.036,23.94900743084031,1.0184406391977117,0.03599994337659494,True,False
0.0,25.098578902151566,1.0479999999999998,23.94900743084031,1.0302372489181484,0.04799994272072529,True,False
0.0,25.38596721019147,1.06,23.94900743084031,1.042033858638585,0.05999994206485576,True,False
0.0,25.673355518231375,1.072,23.94900743084031,1.053830468359022,0.07199994140898626,True,False
0.0,25.960743826271276,1.0839999999999999,23.94900743084031,1.0656270780794588,0.08399994075311662,True,False
0.0,26.24813213431118,1.0959999999999999,23.94900743084031,1.0774236877998957,0.09599994009724713,True,False
0.0,26.535520442351086,1.108,23.94900743084031,1.0892202975203324,0.10799993944137762,True,False
0.0,26.822908750390987,1.1199999999999999,23.94900743084031,1.1010169072407692,0.11999993878550796,True,False
