tissue_sd,sd,effect,dphi_h,n_timepoints,n_per_timepoint,total_mice,power
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,3,10,60,0.2775
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,4,3,24,0.12
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,4,4,32,0.14425
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,4,5,40,0.183
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,4,6,48,0.23075
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,4,8,64,0.30875
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,4,10,80,0.38025
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,6,3,36,0.1735
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,6,4,48,0.23325
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,6,5,60,0.2845
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,6,6,72,0.33975
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,6,8,96,0.42
시신경 (OSD-759),0.67,CT21 인가 (전진),1.87,6,10,120,0.516
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,3,3,18,0.21575
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,3,4,24,0.3355
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,3,5,30,0.442
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,3,6,36,0.56325
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,3,8,48,0.72975
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,3,10,60,0.83125
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,4,3,24,0.35075
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,4,4,32,0.48775
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,4,5,40,0.64225
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,4,6,48,0.72925
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,4,8,64,0.85725
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,4,10,80,0.931
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,6,3,36,0.55125
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,6,4,48,0.7285
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,6,5,60,0.83575
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,6,6,72,0.898
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,6,8,96,0.96475
시신경 (OSD-759),0.67,CT16 인가 (지연),4.13,6,10,120,0.991
