gene,rho,p
Bmal1,-0.0592,0.7886
Clock,-0.1061,0.6299
Npas2,0.179,0.4137
Per1,-0.5101,0.0129
Per2,-0.1908,0.3833
Per3,-0.126,0.5668
Cry1,0.3101,0.1498
Cry2,-0.2606,0.2297
Nr1d1,0.3142,0.1443
Nr1d2,0.0459,0.8352
Dbp,0.0974,0.6583
Tef,-0.2974,0.1682
Hlf,-0.2102,0.3358
Ciart,-0.3775,0.0758
Bhlhe40,0.5713,0.0044
Bhlhe41,0.2555,0.2392
Rorb,-0.0311,0.8879
