gene,rho,p
Bmal1,-0.1918,0.3807
Clock,-0.0719,0.7443
Npas2,-0.1683,0.4426
Per1,-0.1046,0.6349
Per2,-0.0046,0.9834
Per3,0.0372,0.8661
Cry1,-0.3101,0.1498
Cry2,-0.0138,0.9503
Nr1d1,0.28,0.1956
Nr1d2,0.0587,0.7903
Dbp,0.4065,0.0542
Tef,-0.1515,0.4902
Hlf,0.1943,0.3742
Ciart,0.0699,0.7514
Bhlhe40,0.1892,0.3872
Bhlhe41,-0.1061,0.6299
Rorb,-0.2015,0.3566
