OSD_ID,tissue,paradigm,gene,log2fc,fdr
OSD-935,soleus,HLU,Foxo3,0.127279155207373,0.158684421132171
OSD-935,soleus,HLU,Mstn,1.65224810349184,2.28593485602423e-10
OSD-935,soleus,HLU,Ampd3,-0.585511666780886,5.09667579770855e-05
OSD-949,soleus,HLU,Fbxo32,0.44579333494119,0.837058810688235
OSD-949,soleus,HLU,Trim63,-0.292254849764239,0.900750160489036
OSD-949,soleus,HLU,Myh7,-0.46140205638972,0.87791940333752
OSD-949,soleus,HLU,Myh4,4.21735122120979,0.0263374302579858
OSD-949,soleus,HLU,Myh1,2.24882995343283,0.0488843087594247
OSD-949,soleus,HLU,Myh2,-3.37187969742381,0.0017392838701103
OSD-949,soleus,HLU,Foxo1,0.387245299364436,0.809817829296341
OSD-949,soleus,HLU,Foxo3,0.212229956246942,0.838559292411501
OSD-949,soleus,HLU,Mstn,1.07944303181869,0.586410589075466
OSD-949,soleus,HLU,Ampd3,0.123922949483727,0.940204089995521
