series,n_tissues,Bmal1_mean_log2fc,Bmal1_sign_concord,Per2_mean_log2fc,Per2_sign_concord,profile_r_median,profile_r_min,profile_r_max,n_tissue_pairs
FLIGHT-A (RR-1),8,1.105,1.0,-1.005,0.875,0.856,0.668,0.985,28
FLIGHT-B (RR-6),6,0.076,0.8,0.346,1.0,0.425,-0.674,0.91,15
