module,file,ext,date,hour
4,Module04Chamber1-2018-04-22-00-58-02.mp4,mp4,2018-04-22,0.9666666666666667
4,Module04Chamber1-2018-04-22-15-27-00.mp4,mp4,2018-04-22,15.45
4,._Module04Chamber1-2018-04-22-15-27-00.mp4,mp4,2018-04-22,15.45
4,._Module04Chamber1-2018-04-22-15-27-00.mp4,mp4,2018-04-22,15.45
4,Module04Chamber1-2018-04-22-16-45-56.mp4,mp4,2018-04-22,16.75
4,._Module04Chamber1-2018-04-22-16-45-56.mp4,mp4,2018-04-22,16.75
4,._Module04Chamber1-2018-04-22-16-45-56.mp4,mp4,2018-04-22,16.75
4,Module04Chamber1-2018-04-22-18-02-28.mp4,mp4,2018-04-22,18.033333333333335
4,._Module04Chamber1-2018-04-22-18-02-28.mp4,mp4,2018-04-22,18.033333333333335
4,._Module04Chamber1-2018-04-22-18-02-28.mp4,mp4,2018-04-22,18.033333333333335
4,Module04Chamber1-2018-04-22-19-24-42.mp4,mp4,2018-04-22,19.4
4,._Module04Chamber1-2018-04-22-19-24-42.mp4,mp4,2018-04-22,19.4
4,._Module04Chamber1-2018-04-22-19-24-42.mp4,mp4,2018-04-22,19.4
4,Module04Chamber1-2018-04-22-20-43-05.mp4,mp4,2018-04-22,20.716666666666665
4,Module04Chamber1-2018-04-22-22-03-02.mp4,mp4,2018-04-22,22.05
4,._Module04Chamber1-2018-04-22-22-03-02.mp4,mp4,2018-04-22,22.05
4,._Module04Chamber1-2018-04-22-22-03-02.mp4,mp4,2018-04-22,22.05
4,Module04Chamber1-2018-04-22-23-21-51.mp4,mp4,2018-04-22,23.35
4,._Module04Chamber1-2018-04-22-23-21-51.mp4,mp4,2018-04-22,23.35
4,._Module04Chamber1-2018-04-22-23-21-51.mp4,mp4,2018-04-22,23.35
4,Module04Chamber1-2018-04-23-00-39-19.mp4,mp4,2018-04-23,0.65
4,Module04Chamber1-2018-04-23-01-58-05.mp4,mp4,2018-04-23,1.9666666666666668
4,._Module04Chamber1-2018-04-23-01-58-05.mp4,mp4,2018-04-23,1.9666666666666668
4,._Module04Chamber1-2018-04-23-01-58-05.mp4,mp4,2018-04-23,1.9666666666666668
4,Module04Chamber1-2018-04-23-15-26-20.mp4,mp4,2018-04-23,15.433333333333334
4,._Module04Chamber1-2018-04-23-15-26-20.mp4,mp4,2018-04-23,15.433333333333334
4,._Module04Chamber1-2018-04-23-15-26-20.mp4,mp4,2018-04-23,15.433333333333334
4,Module04Chamber1-2018-04-23-16-44-26.mp4,mp4,2018-04-23,16.733333333333334
4,._Module04Chamber1-2018-04-23-16-44-26.mp4,mp4,2018-04-23,16.733333333333334
4,._Module04Chamber1-2018-04-23-16-44-26.mp4,mp4,2018-04-23,16.733333333333334
4,Module04Chamber1-2018-04-23-18-03-19.mp4,mp4,2018-04-23,18.05
4,._Module04Chamber1-2018-04-23-18-03-19.mp4,mp4,2018-04-23,18.05
4,._Module04Chamber1-2018-04-23-18-03-19.mp4,mp4,2018-04-23,18.05
4,Module04Chamber1-2018-04-23-19-17-19.mp4,mp4,2018-04-23,19.283333333333335
4,Module04Chamber1-2018-04-23-20-36-26.mp4,mp4,2018-04-23,20.6
4,._Module04Chamber1-2018-04-23-20-36-26.mp4,mp4,2018-04-23,20.6
4,._Module04Chamber1-2018-04-23-20-36-26.mp4,mp4,2018-04-23,20.6
4,Module04Chamber1-2018-04-23-21-54-13.mp4,mp4,2018-04-23,21.9
4,Module04Chamber1-2018-04-23-23-09-25.mp4,mp4,2018-04-23,23.15
4,Module04Chamber1_2018_05_03_12_32_07.jpg,jpg,2018-05-03,12.533333333333333
4,Module04Chamber1-2018-04-24-01-48-00.mp4,mp4,2018-04-24,1.8
4,._Module04Chamber1-2018-04-24-01-48-00.mp4,mp4,2018-04-24,1.8
4,._Module04Chamber1-2018-04-24-01-48-00.mp4,mp4,2018-04-24,1.8
4,Module04Chamber1-2018-04-24-15-23-04.mp4,mp4,2018-04-24,15.383333333333333
4,Module04Chamber1-2018-04-24-16-43-51.mp4,mp4,2018-04-24,16.716666666666665
4,._Module04Chamber1-2018-04-24-16-43-51.mp4,mp4,2018-04-24,16.716666666666665
4,._Module04Chamber1-2018-04-24-16-43-51.mp4,mp4,2018-04-24,16.716666666666665
4,Module04Chamber1-2018-04-24-17-59-04.mp4,mp4,2018-04-24,17.983333333333334
4,Module04Chamber1-2018-04-24-20-35-12.mp4,mp4,2018-04-24,20.583333333333332
4,Module04Chamber1-2018-04-24-21-58-25.mp4,mp4,2018-04-24,21.966666666666665
4,._Module04Chamber1-2018-04-24-21-58-25.mp4,mp4,2018-04-24,21.966666666666665
4,._Module04Chamber1-2018-04-24-21-58-25.mp4,mp4,2018-04-24,21.966666666666665
4,Module04Chamber1-2018-04-24-23-15-25.mp4,mp4,2018-04-24,23.25
4,._Module04Chamber1-2018-04-24-23-15-25.mp4,mp4,2018-04-24,23.25
4,._Module04Chamber1-2018-04-24-23-15-25.mp4,mp4,2018-04-24,23.25
4,Module04Chamber1-2018-04-25-00-38-21.mp4,mp4,2018-04-25,0.6333333333333333
4,._Module04Chamber1-2018-04-25-00-38-21.mp4,mp4,2018-04-25,0.6333333333333333
4,._Module04Chamber1-2018-04-25-00-38-21.mp4,mp4,2018-04-25,0.6333333333333333
4,Module04Chamber1-2018-04-25-01-57-18.mp4,mp4,2018-04-25,1.95
4,._Module04Chamber1-2018-04-25-01-57-18.mp4,mp4,2018-04-25,1.95
4,._Module04Chamber1-2018-04-25-01-57-18.mp4,mp4,2018-04-25,1.95
4,Module04Chamber1-2018-04-25-15-28-10.mp4,mp4,2018-04-25,15.466666666666667
4,._Module04Chamber1-2018-04-25-15-28-10.mp4,mp4,2018-04-25,15.466666666666667
4,._Module04Chamber1-2018-04-25-15-28-10.mp4,mp4,2018-04-25,15.466666666666667
4,Module04Chamber1-2018-04-25-16-53-53.mp4,mp4,2018-04-25,16.883333333333333
4,._Module04Chamber1-2018-04-25-16-53-53.mp4,mp4,2018-04-25,16.883333333333333
4,._Module04Chamber1-2018-04-25-16-53-53.mp4,mp4,2018-04-25,16.883333333333333
