mesor,amplitude,acrophase,p_rhythm,n,IS,IV,RA,bin_h,span_h,dataset,subject_id,condition,variable,species,gravity
36.22344139311355,0.6913870483010944,20.186060001548537,0.0,320,0.9203262344147177,0.06780226122299085,0.016613851795475004,0.09999999999999987,31.9,hdbr_BBR2,BBR2_BBR3,baseline,tb_core,human,HDT
36.595469701118056,0.7194204512043308,20.552275474972298,0.0,300,0.9753626257559205,0.039379099990249994,0.01741852470665049,0.09999999999999998,31.9,hdbr_BBR2,BBR2_BBR3,treatment,tb_core,human,HDT
36.56570902053249,0.6071844651668388,17.91176264993945,0.0,311,0.9116368535913532,0.03766479956957118,0.01581917334897074,0.09999999999999987,31.9,hdbr_BBR2,BBR2_BBR4,baseline,tb_core,human,HDT
36.62841638723837,0.609476563289721,18.622052302554394,0.0,320,0.8798616718879622,0.03328566873590681,0.017361154023083192,0.09999999999999987,31.9,hdbr_BBR2,BBR2_BBR4,treatment,tb_core,human,HDT
36.84603821908779,0.5673350456639964,17.070926599835417,0.0,288,0.9703404258331462,0.08642058675724618,0.015277216806575991,0.09999999999999998,30.9,hdbr_BBR2,BBR2_BBR7,baseline,tb_core,human,HDT
36.84816010848851,0.46606278444655563,18.64812974465191,0.0,303,0.7761514991830175,0.17504454250613255,0.013251967344534711,0.09999999999999987,31.9,hdbr_BBR2,BBR2_BBR7,treatment,tb_core,human,HDT
36.57948172027378,0.3661066507763715,17.35739404484593,0.0,277,0.9323903274487975,0.2312486850534361,0.0084135733874897,0.09999999999999999,30.2,hdbr_BBR2,BBR2_BBR8,baseline,tb_core,human,HDT
36.58346368971054,0.46942840738200764,17.90169993122983,0.0,282,0.9689245061749684,0.1377140618657308,0.011227767390574876,0.09999999999999998,31.9,hdbr_BBR2,BBR2_BBR8,treatment,tb_core,human,HDT
37.440414543248586,0.3454202103250174,19.070372056325184,0.0,320,0.8819690409783704,0.12438306969367141,0.00921412698859183,0.09999999999999987,31.9,hdbr_BBR2,BBR2_BBR9,baseline,tb_core,human,HDT
37.41336329817165,0.47439783835822924,19.064450545623533,0.0,247,0.99368006766702,0.1105331886640606,0.010835165511602598,0.09999999999999964,24.6,hdbr_BBR2,BBR2_BBR9,treatment,tb_core,human,HDT
36.907642320985836,0.5635414537700797,18.81882025307515,0.0,301,0.9382758051760681,0.23823206320303145,0.014681661398909349,0.10000000000000006,31.9,hdbr_Cocktail,Cocktail_Cocktail1,baseline,tb_core,human,HDT
37.14854058856276,0.786651398593486,19.16501534240784,0.0,270,0.9661704037832686,0.08856876631096448,0.01736286368846176,0.10000000000000009,31.9,hdbr_Cocktail,Cocktail_Cocktail1,treatment,tb_core,human,HDT
