dataset,variable,amp_ratio_floor,amp_ratio_p95,mesor_floor,mesor_p95,acrophase_floor_h,acrophase_p95_h,n_boot
helissen2020,activity,0.24019692944834975,0.3421095620761297,0.007310597829286336,0.020567806728988055,0.5075359076714685,2.075772976120225,2000
helissen2020,bp_mean,0.34540781791339886,0.45535114714673414,1.1714266349524678,1.8490368130718757,1.8498578515941402,3.708091419599927,2000
helissen2020,hr,1.399967368213128,2.9028707534987817,60.537196470580284,78.35001360507536,0.5075431111223123,5.000793010844465,2000
helissen2020,tb_sub,0.2587617950995121,0.34113267070466585,0.08087467783218827,0.13523068312338893,0.303220115819526,0.9704324315218431,2000
helissen2021,activity,0.22066547677081122,0.3083348534657348,0.026311297079888482,0.03869755839858162,0.22644174717551735,0.6084495457881607,2000
helissen2021,bp_mean,0.1980521957463694,0.4043279558786861,5.6820066181855395,8.913458768228248,1.80975342912647,2.981362363592206,2000
helissen2021,hr,0.322320863186512,0.6629366973959094,7.527657810058599,17.731339838240725,0.5500887899874529,1.4320878048812846,2000
helissen2021,tb_sub,0.07490366592989628,0.15088623700353024,0.04114950565307396,0.10160195468826316,0.2316209136046643,0.6612544340593713,2000
helissen2022,activity,0.07643104852188054,0.19726550275882948,0.008816501089608075,0.014425572663530483,5.405170346885987,6.026826847361817,2000
helissen2022,hr,0.1621724051282935,0.327489152100004,13.105396878676146,18.387542945328818,3.9452613713479954,6.5472014676218535,2000
helissen2022,tb_core,0.038627608626984444,0.11510920334347698,0.05244517729526521,0.09163927639557377,0.746131425052976,1.0940922531600783,2000
