variable,dataset,n_animals,n_days_treat,true_dphi,power,sd_base,sd_treat
activity,helissen2022,12,10,2.0,0.994,1.1144337254140306,4.021692322498499
activity,helissen2022,12,10,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,12,14,1.0,0.7095,1.1144337254140306,4.021692322498499
activity,helissen2022,12,14,2.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,12,14,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,12,21,1.0,0.834,1.1144337254140306,4.021692322498499
activity,helissen2022,12,21,2.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,12,21,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,16,5,1.0,0.494,1.1144337254140306,4.021692322498499
activity,helissen2022,16,5,2.0,0.982,1.1144337254140306,4.021692322498499
activity,helissen2022,16,5,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,16,7,1.0,0.6105,1.1144337254140306,4.021692322498499
activity,helissen2022,16,7,2.0,0.997,1.1144337254140306,4.021692322498499
activity,helissen2022,16,7,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,16,10,1.0,0.7545,1.1144337254140306,4.021692322498499
activity,helissen2022,16,10,2.0,0.9995,1.1144337254140306,4.021692322498499
activity,helissen2022,16,10,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,16,14,1.0,0.8465,1.1144337254140306,4.021692322498499
activity,helissen2022,16,14,2.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,16,14,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,16,21,1.0,0.9265,1.1144337254140306,4.021692322498499
activity,helissen2022,16,21,2.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,16,21,3.0,1.0,1.1144337254140306,4.021692322498499
tb_sub,helissen2020,4,5,1.0,0.117,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,5,2.0,0.2785,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,5,3.0,0.528,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,7,1.0,0.141,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,7,2.0,0.35,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,7,3.0,0.6525,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,10,1.0,0.1745,0.29008815682880784,4.516313020920767
