dphi,med,q25,q75,lo,hi
0.5,0.08495123405036611,0.05852752151733219,0.10074635471087201,0.03410111640894458,0.10851380972285962
1.0,0.17078832470795574,0.11482604651435305,0.20187136211235493,0.0639127836164669,0.21574308242202658
1.5,0.2534001629835646,0.1745811424319406,0.30051526607134676,0.10171986967046115,0.32368472779850804
2.0,0.33865441382868944,0.2276873875370508,0.40028864924965213,0.12673200178528435,0.4277947408885295
3.0,0.500726032036072,0.3366529342321203,0.5918568866173076,0.1873828002668067,0.63252671273132
4.0,0.6542300890078337,0.4398582558846506,0.7732982885612107,0.24482742708343683,0.8264359771497415
6.0,0.9252210647874357,0.6220535109938484,1.0936089274431673,0.3462382678223074,1.1687569673182256
8.0,1.1331597540018772,0.761856847320847,1.3393919251940751,0.4240535427948783,1.4314291016261838
12.0,1.308460178015668,0.8797165117693019,1.5465965771224206,0.48965485416687504,1.652871954299483
